MsgID.GLOBAL_POSITION,1533654978.9695749,-122.3974492,37.7924790,0.2200000
MsgID.LOCAL_VELOCITY,1533654978.9695749,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654978.9703288,-0.1045410,0.0683958,-0.2207982
MsgID.LOCAL_VELOCITY,1533654978.9703288,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1533654978.9708951,-122.3974498,37.7924789,0.2220000
MsgID.LOCAL_VELOCITY,1533654978.9708951,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654978.9714713,-0.1181071,0.0100780,-0.2226758
MsgID.LOCAL_VELOCITY,1533654978.9714713,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1533654978.9719982,-122.3974493,37.7924802,0.2130000
MsgID.LOCAL_VELOCITY,1533654978.9719982,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654978.9725239,0.0234224,0.0610591,-0.2134440
MsgID.LOCAL_VELOCITY,1533654978.9725239,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1533654978.9734309,False,False
MsgID.GLOBAL_HOME,1533654978.9746058,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654978.9750803,-122.3974503,37.7924813,0.1910000
MsgID.LOCAL_VELOCITY,1533654978.9750803,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654978.9755790,0.1513545,-0.0322063,-0.1918303
MsgID.LOCAL_VELOCITY,1533654978.9755790,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1533654979.1343937,-122.3974515,37.7924802,0.1570000
MsgID.LOCAL_VELOCITY,1533654979.1343937,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654979.1364486,0.0276115,-0.1420993,-0.1577714
MsgID.LOCAL_VELOCITY,1533654979.1364486,0.0000356,-0.0000297,0.0000224
MsgID.GLOBAL_POSITION,1533654979.3864107,-122.3974488,37.7924799,0.1150000
MsgID.LOCAL_VELOCITY,1533654979.3864107,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654979.3867779,-0.0002199,0.1065151,-0.1151000
MsgID.LOCAL_VELOCITY,1533654979.3867779,0.0000042,0.0000025,0.0000190
MsgID.GLOBAL_POSITION,1533654979.6365085,-122.3974502,37.7924798,0.0660000
MsgID.LOCAL_VELOCITY,1533654979.6365085,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654979.6368258,-0.0173954,-0.0188472,-0.0665099
MsgID.LOCAL_VELOCITY,1533654979.6368258,-0.0000040,-0.0000080,0.0000063
MsgID.STATE,1533654979.8851488,True,True
MsgID.GLOBAL_HOME,1533654980.4823401,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654980.4824679,-122.3974511,37.7924786,0.0210000
MsgID.LOCAL_VELOCITY,1533654980.4824679,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654980.4825854,-0.1464331,-0.1025967,-0.0209980
MsgID.LOCAL_VELOCITY,1533654980.4825854,0.0000025,-0.0000033,0.0000042
MsgID.GLOBAL_POSITION,1533654980.4826930,-122.3974500,37.7924794,-0.0160000
MsgID.LOCAL_VELOCITY,1533654980.4826930,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654980.4827955,-0.0631226,-0.0005411,0.0163156
MsgID.LOCAL_VELOCITY,1533654980.4827955,-0.0000067,-0.0000685,-0.0027814
MsgID.GLOBAL_POSITION,1533654980.4828970,-122.3974516,37.7924798,-0.0380000
MsgID.LOCAL_VELOCITY,1533654980.4828970,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1533654980.4829996,-0.0148373,-0.1507277,0.0385688
MsgID.LOCAL_VELOCITY,1533654980.4829996,0.0005082,0.0010212,-0.0360143
MsgID.GLOBAL_POSITION,1533654980.6363101,-122.3974500,37.7924800,-0.0310000
MsgID.LOCAL_VELOCITY,1533654980.6363101,0.0000000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,1533654980.6365364,0.0022718,-0.0080902,0.0318962
MsgID.LOCAL_VELOCITY,1533654980.6365364,0.0029976,0.0097732,-0.0474715
MsgID.STATE,1533654980.8852096,True,True
MsgID.GLOBAL_HOME,1533654980.8858590,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654980.8861079,-122.3974497,37.7924807,-0.0210000
MsgID.LOCAL_VELOCITY,1533654980.8861079,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1533654980.8863664,0.0882012,0.0258401,0.0211569
MsgID.LOCAL_VELOCITY,1533654980.8863664,0.0043733,0.0063933,0.0073632
MsgID.GLOBAL_POSITION,1533654981.1355984,-122.3974513,37.7924794,0.2380000
MsgID.LOCAL_VELOCITY,1533654981.1355984,0.0000000,0.0000000,-2.0700000
MsgID.LOCAL_POSITION,1533654981.1782200,-0.0574835,-0.1215217,-0.2385687
MsgID.LOCAL_VELOCITY,1533654981.1782200,-0.0054785,-0.0002790,-2.0751002
MsgID.GLOBAL_POSITION,1533654981.3861856,-122.3974519,37.7924785,1.0400000
MsgID.LOCAL_VELOCITY,1533654981.3861856,0.0100000,0.0200000,-3.8700000
MsgID.LOCAL_POSITION,1533654981.3865016,-0.1593153,-0.1704944,-1.0400704
MsgID.LOCAL_VELOCITY,1533654981.3865016,0.0166030,0.0217381,-3.8764071
MsgID.GLOBAL_POSITION,1533654981.6371675,-122.3974493,37.7924787,2.1260000
MsgID.LOCAL_VELOCITY,1533654981.6371675,0.0400000,0.0200000,-4.4800000
MsgID.LOCAL_POSITION,1533654981.6374860,-0.1375183,0.0543071,-2.1262434
MsgID.LOCAL_VELOCITY,1533654981.6374860,0.0414085,0.0280499,-4.4807925
MsgID.STATE,1533654981.8854868,True,True
MsgID.GLOBAL_HOME,1533654981.8859303,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654981.8861692,-122.3974488,37.7924803,3.2830000
MsgID.LOCAL_VELOCITY,1533654981.8861692,0.0400000,0.0100000,-4.5500000
